Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE,Global Message Number,Source
device_settings,,,,,,,,,,,,,,,,,
,8,alarms_time,date_time,[N],,,,s,,,,,,,,,7
,28,alarms_enabled,switch,[N],,,,,,,,,,,,,7
,92,alarms_repeat,uint32z,[N],,,,,,,,,,,,,7
user_profile,,,,,,,,,,,,,Add to existing,,,,
,24,year_of_birth,uint8,,,,-1900,,,,,,,,,,
,37,ltspeed,uint8,,,10,,km/h,,,,,,,,,
,41,time_last-lthr_update,date_time,,,,,s,,,,,,,,,4
,62,gender_x,gender_x,,,,,,,,,,Includes 'not specified',,,,
sport,,,,,,,,,,,,,Add to existing,,,,
,15,popularity_routing,switch,,,,,,,,,,,,,,
,17,navigation_prompt,navigation_prompt,,,,,,,,,,,,,,
,18,sharp_bend_warnings,switch,,,,,,,,,,,,,,
,21,workout_videos,switch,,,,,,,,,,,,,,
,22,high_traffic_road_warnings,switch,,,,,,,,,,,,,,
,23,road_hazard_warnings,switch,,,,,,,,,,,,,,
,24,unpaved_road_warnings,switch,,,,,,,,,,,,,,
totals,,,,,,,,,,,,,,,,,
,10,activity_profile,string,,,,,,,,,,,,,,
training_settings,,,,,,,,,,,,,In sport file,,,,
,2,virtual_partner_pace,uint16,,,1000,,m/s,,,,,,,,,
,3,auto_lap_mode,auto_lap_mode,,,,,,,,,,,,,,
,4,auto_lap_distance,uint16,,,100,,m,,,,,,,,,
,7,auto_pause,auto_pause_setting,,,,,,,,,,,,,,
,8,auto_pause_threshold,uint32,,,1000,,m/s,,,,,,,,,
,12,power_averaging,power_averaging,,,,,,,,,,,,,,
,15,auto_scroll,auto_scroll_mode,,,,,,,,,,,,,,
,18,timer_start_prompt,switch,,,,,,,,,,,,,,
,22,pool_length,uint16,,,100,,m,,,,,,,,,
,25,auto_sleep,switch,,,,,,,,,,,,,,
,27,satellites,satellites,,,,,,,,,,,,,,
,35,3_d_speed,switch,,,,,,,,,,,,,,
,36,3_d_distance,switch,,,,,,,,,,,,,,
,37,auto_climb,switch,,,,,,,,,,,,,,
,40,auto_climb_invert_colors,switch,,,,,,,,,,,,,,
,41,auto_climb_vertical_speed,sint32,,,27.778,,m/h,,,,,,,,,
,42,auto_climb_mode_switch,uint8,,,,,s,,,,,,,,,
,46,lap_key,switch,,,,,,,,,,,,,,
,50,workout_target_alerts,switch,,,,,,,,,,,,,,
,51,timer_start_auto,switch,,,,,,,,,,,,,,
,52,timer_start_speed,uint16,,,1000,,m/s,,,,,,,,,
,53,segment_alerts,switch,,,,,,,,,,,,,,
,57,countdown_start,switch,,,,,,,,,,,,,,
,63,climb_pro,switch,,,,,,,,,,,,,,
,67,track_consumption,switch,,,,,,,,,,,,,,
,69,bottle_size,uint16,,,,,,,,,,,,,,
,70,volume,volume,,,,,,,,,,,,,,
,80,minimum_ride_duration,uint16,,,,,s,,,,,,,,,
,86,lane_number,uint8,,,,,,,,,,,,,,
,87,broadcast_heart_rate,switch,,,,,,,,,,,,,,
,93,self_evaluation,self_evaluation_status,,,,,,,,,,,,,,
,102,speed_pro,switch,,,,,,,,,,,,,,
,103,touch,touch_status,,,,,,,,,,,,,,
,106,record_temperature,switch,,,,,,,,,,,,,,
,109,running_power_mode,running_power_mode,,,,,,,,,,,,,,
,110,account_for_wind,switch,,,,,,,,,,,,,,
,111,climb_pro_mode,climb_pro_mode,,,,,,,,,,,,,,
,117,climb_detection,climb_detection,,,,,,,,,,,,,,
,119,climb_pro_terrain,climb_pro_terrain,,,,,,,,,,,,,,
,1001,gps,switch,,,,,,,,,,,,,,
,1002,glonass,switch,,,,,,,,,,,,,,
,1003,galileo,switch,,,,,,,,,,,,,,
,1004,beidou,switch,,,,,,,,,,,,,,
data_screen,,,,,,,,,,,,,In sport file,,,14,
,3,nr_fields,uint8,,,,,,,,,,,,,,
,7,data_fields,data_fields,,,,,,,,,,,,,,
,8,layout,uint8,,,,,,,,,,,,,,
,9,position,uint8,,,,,,,,,,,,,,
,10,screen_type,screen_type,,,,,,,,,,,,,,
alert,,,,,,,,,,,,,In sport file,,,16,
,1,metric,alert_metric,,,,,,,,,,,,,,
,2,value,uint32,,,,,,,,,,,,,,
,,time,uint32,,,1000,,s,,,metric,time,,,,,
,,distance,uint32,,,100,,m,,,"metric,metric,metric","distance,ascent,descent",,,,,
,,calories,uint32,,,,,kcal,,,metric,calories,,,,,
,3,status,switch,,,,,,,,,,,,,,
,4,message,string,,,,,,,,,,,,,,
,5,repeat,switch,,,,,,,,,,,,,,
range_alert,,,,,,,,,,,,,In sport file,,,17,
,1,metric,zone_metric,,,,,,,,,,,,,,
,2,low_status,alert_zone,,,,,,,,,,,,,,
,3,low_value,uint16,,,,,,,,,,,,,,
,,heart_rate,uint16,,,,,bpm,,,metric,heart_rate,,,,,
,,speed,uint16,,,1000,,m/s,,,metric,speed,,,,,
,,cadence,uint16,,,,,rpm,,,metric,cadence,,,,,
,,power,uint16,,,,,watts,,,metric,power,,,,,
,,elevation,uint16,,,5,500,m/s,,,metric,elevation,,,,,
,4,high_status,alert_zone,,,,,,,,,,,,,,
,5,high_value,uint16,,,,,,,,,,,,,,
,,heart_rate,uint16,,,,,bpm,,,metric,heart_rate,,,,,
,,speed,uint16,,,1000,,m/s,,,metric,speed,,,,,
,,cadence,uint16,,,,,rpm,,,metric,cadence,,,,,
,,power,uint16,,,,,watts,,,metric,power,,,,,
,,elevation,uint16,,,5,500,m/s,,,metric,elevation,,,,,
session,,,,,,,,,,,,,Add to existing,,,,
,78,work_time,uint32,,,1000,,s,,,,,,,,,
,79,avg_swim_cadence,uint16,,,10,,strokes/length,,,,,,,,,
,80,avg_swolf,uint16,,,,,,,,,,,,,,
,107,front_shifts?,uint16,,,,,,,,,,,,,,7
,108,rear_shifts?,uint16,,,,,,,,,,,,,,7
,151,total_sets,uint16,,,,,,,,,,,,,,
,152,volume,uint32,,,100,,kg,,,,,,,,,
,177,calories_consumed,uint16,,,,,,,,,,,,,,7
,178,est_sweat_loss,uint16,,,,,ml,,,,,,,,,
,179,fluid_consumed,uint16,,,,,ml,,,,,,,,,7
,185,execution_score,uint8,,,,,percent,,,,,,,,,
,188,primary_benefit,benefit,,,,,,,,,,,,,,
,196,resting_calories,uint16,,,,,kcal,,,,,,,,,
,202,recovery_heart_rate,uint8,,,,,,,,,,,,,,
,205,beginning_potential,uint8,,,,,,,,,,,,,,
,206,ending_potential,uint8,,,,,,,,,,,,,,
,207,min_stamina,uint8,,,,,,,,,,,,,,
,211,grade_adjusted_speed,uint32,,,1000,,m/s,,,,,,,,,
,212,wind_data,wind_data_status,,,,,,,,,,,,,,
,215,beginning_body_battery,uint8,,,,,,,,,,,,,,
,216,ending_body_battery,uint8,,,,,,,,,,,,,,
,220,pack_weight,uint16,,,10,,kg,,,,,,,,,
,222,step_speed_loss_distance,uint16,,,100,,cm/s,,,,,,,,,3
,223,step_speed_loss_percent,uint16,,,100,,%,,,,,,,,,3
,224,avg_force,sint32,,,1000,,N,,,,,,,,,
,225,max_force,sint32,,,1000,,N,,,,,,,,,
,226,normalized_force,sint32,,,1000,,N,,,,,,,,,
lap,,,,,,,,,,,,,Add to existing,,,,
,27,nec_lat,sint32,,,,,semicircles,,,,,,,,,
,28,nec_long,sint32,,,,,semicircles,,,,,,,,,
,29,swc_lat,sint32,,,,,semicircles,,,,,,,,,
,30,swc_long,sint32,,,,,semicircles,,,,,,,,,
,73,avg_swolf,uint16,,,,,,,,,,,,,,
,145,est_sweat_loss,uint16,,,,,,,,,,,,,,
,152,execution_score,uint8,,,,,percent,,,,,,,,,
,155,resting_calories,uint16,,,,,kcal,,,,,,,,,
,161,grade_adjusted_speed,uint32,,,1000,,m/s,,,,,,,,,
,163,unpaved,uint8,,,,,percent,,,,,,,,,
,164,step_speed_loss_distance,uint16,,,100,,cm/s,,,,,,,,,3
,165,step_speed_loss_percentage,uint16,,,100,,%,,,,,,,,,3
,166,avg_force,sint32,,,1000,,N,,,,,,,,,
,167,max_force,sint32,,,1000,,N,,,,,,,,,
,168,normalized_force,sint32,,,1000,,N,,,,,,,,,
record,,,,,,,,,,,,,Add to existing,,,,
,90,performance_condition,sint8,,,,,,,,,,,,,,
,121,total_ascent,uint16,,,,,m,,,,,,,,,
,136,wrist_heart_rate,uint8,,,,,bpm,,,,,,,,,
,137,stamina_potential,uint8,,,,,,,,,,,,,,
,138,stamina,uint8,,,,,,,,,,,,,,
,140,grade_adjusted_speed,uint32,,,1000,,m/s,,,,,,,,,11
,143,body_battery,uint8,,,,,,,,,,,,,,
,144,external_heart_rate,uint8,,,,,bpm,,,,,,,,,
,146,step_speed_loss_distance,uint16,,,100,,cm/s,,,,,,,,,3
,147,step_speed_loss_percentage,uint16,,,100,,%,,,,,,,,,3
,148,force,sint32,,,1000,,N,,,,,,,,,13
event,,,,,,,,,,,,,,,,,
,3,data,uint32,,,,,,,,,,,,,,
,,performance_condition,uint16,,,,100,,,,event,performance_condition_alert,,,,,
,,recovery_hr,uint8,,,,,bpm,,,event,recovery_hr,,,,,
,,some_timestamp,local_date_time,,,,,s,,,event,sleep_event,,,,,
device_used,,,,,,,,,,,,,Devices used for metric,,,22,4
,0,speed,device_index,,,,,,,,,,,,,,4
,1,distance,device_index,,,,,,,,,,,,,,4
,2,cadence,device_index,,,,,,,,,,,,,,4
,3,elevation,device_index,,,,,,,,,,,,,,4
,4,heart_rate,device_index,,,,,,,,,,,,,,4
,6,power,device_index,,,,,,,,,,,,,,4
workout,,,,,,,,,,,,,Add to existing,,,,
,9,duration_type,wkt_step_duration,,,,,,,,,,,,,,
,10,duration_value,uint32,,,,,,,,,,,,,,
,,duration_time,uint32,,,1000,,s,,,"duration_type,duration_type","time,repetition_time",,,,,
,,duration_distance,uint32,,,100,,m,,,duration_type,distance,,,,,
,,duration_hr,workout_hr,,,,,% or bpm,,,"duration_type,duration_type","hr_less_than,hr_greater_than",,,,,
,,duration_calories,uint32,,,,,calories,,,duration_type,calories,,,,,
,,duration_step,uint32,,,,,,,,"duration_type,duration_type,duration_type,duration_type,duration_type,duration_type,duration_type,duration_type","repeat_until_steps_cmplt,repeat_until_time,repeat_until_distance,repeat_until_calories,repeat_until_hr_less_than,repeat_until_hr_greater_than,repeat_until_power_less_than,repeat_until_power_greater_than",,,,,
,,duration_power,workout_power,,,,,% or watts,,,"duration_type,duration_type","power_less_than,power_greater_than",,,,,
,,duration_reps,uint32,,,,,,,,duration_type,reps,,,,,
,17,notes,string,,,,,,,,,,,,,,
,20,workout_index,uint16,,,,,,,,,,,,,,
,21,time,uint32,,,1000,,s,,,,,,,,,3
,22,distance,uint32,,,100,,m,,,,,,,,,3
workout_step,,,,,,,,,,,,,Add to existing,,,,
,18,skip_last_recover,yes_no,,,,,,,,,,,,,,8
,31,workout_index,uint16,,,,,,,,,,,,,,
location,,,,,,,,,,,,,In locations file,,,29,
,0,name,string,,,,,,,,,,,,,,
,1,position_lat,sint32,,,,,semicircles,,,,,,,,,
,2,position_long,sint32,,,,,semicircles,,,,,,,,,
,3,symbol,map_symbol,,,,,,,,,,,,,,
,4,altitude,uint16,,enhanced_altitude,5,500,m,16,,,,,,,,
,5,enhanced_altitude,uint32,,,5,500,m,,,,,,,,,
,6,description,string,,,,,,,,,,,,,,
map_layer,,,,,,,,,,,,,In sport file,,,70,
,2,relief_shading,relief_shading,,,,,,,,,,,,,,
,11,orientation,orientation,,,,,,,,,,,,,,
,13,user_locations,visibility_status,,,,,,,,,,,,,,
,14,auto_zoom,switch,,,,,,,,,,,,,,
,15,guide_text,guide_text,,,,,,,,,,,,,,
,16,track_log,visibility_status,,,,,,,,,,,,,,
,20,courses,courses,,,,,,,,,,,,,,
,23,spot_soundings,switch,,,,,,,,,,,,,,
,24,light_sectors,light_sectors_status,,,,,,,,,,,,,,
,27,segments,visibility_status,,,,,,,,,,,,,,
,28,contours,visibility_status,,,,,,,,,,,,,,
,29,some_label,string,,,,,,,,,,,,,,
,31,popularity,switch,,,,,,,,,,,,,,
routing,,,,,,,,,,,,,In sport file,,,71,
,0,routing_mode,routing_mode,,,,,,,,,,,,,,
,1,calculation_method,calculation_method,,,,,,,,,,,,,,
,2,lock_on_road,switch,,,,,,,,,,,,,,
,3,avoidances,avoidances,,,,,,,,,,,,,,
,4,route_recalculation,route_recalculation,,,,,,,,,,,,,,
,5,type,routing_type,,,,,,,,,,,,,,
,7,course_recalculation,course_recalculation,,,,,,,,,,,,,,
user_metrics,,,,,,,,,,,,,In activity file,,,79,
,0,vo2_max,uint32,,,292.5714286,,ml/kg/min,,,,,Scale = 1024 / 3.5,,,,3
,1,age,uint8,,,,,yrs,,,,,,,,,
,2,height,uint8,,,100,,m,,,,,,,,,
,3,weight,uint16,,,10,,kg,,,,,,,,,
,4,gender,gender,,,,,,,,,,,,,,
,6,max_hr,uint8,,,,,bpm,,,,,,,,,
,8,remaining_recovery_time,uint16,,,,,min,,,,,,,,,
,11,lthr,uint8,,,,,bpm,,,,,,,,,
,12,ltpower,uint8,,,,,watts,,,,,,,,,
,13,ltspeed,uint8,,,10,,km/h,,,,,,,,,
,15,beginning_body_battery,uint8,,,,,,,,,,,,,,
,16,start_of_activity,date_time,,,,,s,,,,,,,,,
,19,first_vo2_max,sint32,,,18724.57143,,ml/kg/min,,,,,vo2 max of first activity if close together,,,,
,32,beginning_potential,uint8,,,,,,,,,,,,,,
,35,end_of_previous_activity,date_time,,,,,s,,,,,,,,,
,39,wake_up_time,date_time,,,,,s,,,,,,,,,
device_info,,,,,,,,,,,,,,,,,
,24,ant_id,ant_channel_id,,,,,,,,,,,,,,4
device_status,,,,,,,,,,,,,In activity file,,,104,
,0,battery_voltage,uint16,,,1000,,V,,,,,,,,,4
,2,battery_level,uint8,,,,,percent,,,,,,,,,
,3,temperature,sint8,,,,,°C,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,,,
best_effort,,,,,,,,,,,,,In records file,,,113,
,1,sport,sport,,,,,,,,,,,,,,
,2,distance,uint32,,,100,,m,,,,,,,,,
,3,time,uint32,,,1000,,s,,,,,,,,,
,4,start_time,date_time,,,,,s,,,,,,,,,
,5,personal_record,yes_no,,,,,,,,,,,,,,
personal_record,,,,,,,,,,,,,,,,114,
,0,metric,record_metric,,,,,,,,,,,,,,
,1,sport,sport,,,,,,,,,,,,,,
,2,distance,uint32,,,100,,m,,,,,,,,,
,5,record,uint32,,,,,,,,,,,,,,
,,time,uint32,,,1000,,s,,,metric,time,,,,,
,,distance,uint32,,,100,,m,,,metric,distance,,,,,
,,ascent,uint32,,,,,m,,,metric,ascent,,,,,
,,power,uint32,,,,,watts,,,metric,power,,,,,
activity_metrics,,,,,,,,,,,,,In activity file,,,140,
,1,new_hr_max,uint8z,,,,,,,,,,Invalid if 0,,,,
,4,aerobic_training_effect,uint8,,,10,,,,,,,,,,,
,7,vo2_max,uint32z,,,18724.57143,,ml/kg/min,,,,,"Scale = 65536 / 3.5, Invalid if 0",,,,1
,9,recovery_time,uint16,,,,,min,,,,,,,,,1
,11,sport,sport,,,,,,,,,,,,,,
,14,lthr,uint8,,,,,bpm,,,,,,,,,1
,15,ltpower,uint8,,,,,watts,,,,,,,,,1
,16,ltspeed,uint8,,,10,,km/h,,,,,,,,,
,17,ending_performance_condition,uint8,,,,,,,,,,,,,,
,20,anaerobic_training_effect,uint8,,,10,,,,,,,,,,,
,25,ending_body_battery,uint8,,,,,,,,,,,,,,
,29,first_vo2_max,uint32z,,,18724.57143,,ml/kg/min,,,,,"vo2 max of first activity if close together, Invalid if 0",,,,3
,35,time?,uint32,,,1000,,s,,,,,,,,,
,36,distance?,uint32,,,100,,m,,,,,,,,,
,37,training_load_peak_1?,sint32,,,65536,,,,,,,,,,,
